<<<<<<< HEAD
$BUILT 2014-05-12 12:03:48
=======
$BUILT 2014-05-13 22:22:27
>>>>>>> 76e0cc49098ff861a8d99071355706377614f6e9
$AUTHOR Amanda
$GERMAN 
$ENGLISH Butterflingers (2p)

#SIZE_X 640
#SIZE_Y 800
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 130
#INITIAL 450
#REQUIRED 10
#SPAWN_INTERVAL 3
#SPAWN_INTERVAL_FAST 3

#EXPLODER2 -1
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/beach/Hatch.H: 576 720
:matt/beach/Hatch.H: 192 320

:matt/underworld/Goal.G: 96 128
:matt/underworld/Goal.G: 480 528

:geoo/abstract/tbeam_up.T: 192 660
:geoo/abstract/tbeam_up.T: 224 660
:geoo/abstract/tbeam_up.T: 256 660
:geoo/abstract/tbeam_up.T: 288 660
:geoo/abstract/tbeam_up.T: 320 660
:geoo/abstract/tbeam_up.T: 352 660
:geoo/abstract/tbeam_up.T: 384 660
:geoo/abstract/tbeam_up.T: 416 660
:geoo/abstract/tbeam_up.T: 448 660
:geoo/abstract/tbeam_up.T: 480 660
:geoo/abstract/tbeam_up.T: 512 660
:geoo/abstract/tbeam_up.T: 544 660
:geoo/abstract/tbeam_left.T: 192 628
:geoo/abstract/tbeam_left.T: 224 628
:geoo/abstract/tbeam_left.T: 256 628
:geoo/abstract/tbeam_left.T: 288 628
:geoo/abstract/tbeam_left.T: 320 628
:geoo/abstract/tbeam_left.T: 352 628
:geoo/abstract/tbeam_left.T: 384 628
:geoo/abstract/tbeam_left.T: 416 628
:geoo/abstract/tbeam_left.T: 448 628
:geoo/abstract/tbeam_left.T: 480 628
:geoo/abstract/tbeam_left.T: 192 596
:geoo/abstract/tbeam_left.T: 224 596
:geoo/abstract/tbeam_left.T: 256 596
:geoo/abstract/tbeam_left.T: 288 596
:geoo/abstract/tbeam_left.T: 320 596
:geoo/abstract/tbeam_left.T: 352 596
:geoo/abstract/tbeam_left.T: 384 596
:geoo/abstract/tbeam_up.T: 624 560
:geoo/abstract/tbeam_up.T: 16 560
:geoo/abstract/tbeam_up.T: 48 560
:geoo/abstract/tbeam_up.T: 80 560
:geoo/abstract/tbeam_up.T: 112 560
:geoo/abstract/tbeam_up.T: 144 560
:geoo/abstract/tbeam_up.T: 592 560
:geoo/abstract/tbeam_right.T: 0 528
:geoo/abstract/tbeam_right.T: 32 528
:geoo/abstract/tbeam_right.T: 64 528
:geoo/abstract/tbeam_right.T: 96 528
:geoo/abstract/tbeam_right.T: 608 528
:geoo/abstract/tbeam_right.T: 576 528
:geoo/abstract/tbeam_right.T: 128 528
:geoo/abstract/tbeam_right.T: 160 528
:geoo/abstract/tbeam_up.T: 592 592
:geoo/abstract/tbeam_up.T: 624 592
:geoo/abstract/tbeam_up.T: 16 592
:geoo/abstract/tbeam_up.T: 48 592
:geoo/abstract/tbeam_up.T: 80 592
:geoo/abstract/tbeam_up.T: 112 592
:geoo/abstract/tbeam_up.T: 144 592
:geoo/abstract/tbeam_right.T: 240 400
