$BUILT                                             2011-09-04 22:51:25
$AUTHOR                                                          RubiX
$GERMAN                                                               
$ENGLISH                              The Rescue: A Collapsed mine(3p)

#SIZE_X                                                           2304
#SIZE_Y                                                            678
#TORUS_X                                                             1
#TORUS_Y                                                             0
#START_X                                                           768
#START_Y                                                            98
#BACKGROUND_RED                                                      0
#BACKGROUND_GREEN                                                    0
#BACKGROUND_BLUE                                                     0

#SECONDS                                                            70
#INITIAL                                                            50
#REQUIRED                                                           21
#RATE                                                               99

#WALKER                                                             60
#JUMPER                                                             30
#BLOCKER                                                             2
#EXPLODER2                                                           6
#BUILDER                                                            50
#PLATFORMER                                                         20
#BASHER                                                             35
#MINER                                                              20
#RUNNER                                                             10
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0

:bitmap/matt/02 - Gold Mine/mine cart.D:                1433       243
:bitmap/matt/02 - Gold Mine/mine cart.D:                1960       243
:bitmap/matt/02 - Gold Mine/mine cart.D:                 384       243
:bitmap/matt/02 - Gold Mine/pickaxe.D:                  1548       105
:bitmap/matt/02 - Gold Mine/pickaxe.D:                  1433       241
:bitmap/matt/02 - Gold Mine/pickaxe.D:                   398       237
:bitmap/matt/02 - Gold Mine/shovel.D:                   1881        63
:bitmap/matt/02 - Gold Mine/shovel.D:                   1991       232
:bitmap/matt/02 - Gold Mine/shovel.D:                    432       243
:bitmap/matt/02 - Gold Mine/GoalTop.D:                  1312       176
:bitmap/matt/02 - Gold Mine/GoalTop.D:                   544       176
:bitmap/matt/02 - Gold Mine/GoalTop.D:                  2080       176
:bitmap/matt/02 - Gold Mine/Explosives.D:                803       228
:bitmap/matt/02 - Gold Mine/Explosives.D:               1479       230
:bitmap/matt/02 - Gold Mine/Explosives.D:                271       228

:bitmap/matt/02 - Gold Mine/Hatch.H:                     158       244
:bitmap/matt/02 - Gold Mine/Hatch.H:                     912       244
:bitmap/matt/02 - Gold Mine/Hatch.H:                    1696       244
:bitmap/matt/02 - Gold Mine/Hatch.H:                     234       576
:bitmap/matt/02 - Gold Mine/Hatch.H:                     282       576
