$BUILT                                             2011-09-19 20:03:42
$AUTHOR                                                          Rubix
$GERMAN                                                               
$ENGLISH                                                    The Batter

#SIZE_X                                                            800
#SIZE_Y                                                            400
#TORUS_X                                                             0
#TORUS_Y                                                             0
#START_X                                                             0
#START_Y                                                           380
#BACKGROUND_RED                                                      0
#BACKGROUND_GREEN                                                    0
#BACKGROUND_BLUE                                                     0

#SECONDS                                                           300
#INITIAL                                                            70
#REQUIRED                                                           40
#RATE                                                               99

#BATTER                                                             -1
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0

:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                288        32
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
:bitmap/simon/hatch001.H:                                624       272     r
