$BUILT                                             2012-01-21 10:39:02
$AUTHOR                                                   Clam Spammer
$GERMAN                                                               
$ENGLISH                                       Let's go mining (h, 4P)

#SIZE_X                                                           1280
#SIZE_Y                                                            400
#TORUS_X                                                             1
#TORUS_Y                                                             1
#START_X                                                             0
#START_Y                                                             0
#BACKGROUND_RED                                                      0
#BACKGROUND_GREEN                                                    0
#BACKGROUND_BLUE                                                     0

#SECONDS                                                            60
#INITIAL                                                            80
#REQUIRED                                                           80
#SPAWN_INTERVAL                                                     22

#CLIMBER                                                            20
#RUNNER                                                             20
#WALKER                                                             40
#JUMPER                                                             40
#BATTER                                                             20
#EXPLODER2                                                          20
#CUBER                                                              10
#BLOCKER                                                            10
#BUILDER                                                            40
#BASHER                                                             -1
#MINER                                                              -1
#DIGGER                                                             -1

:bitmap/matt/02 - Gold Mine/Hatch.H:                     128        96
:bitmap/matt/02 - Gold Mine/Hatch.H:                     448        96
:bitmap/matt/02 - Gold Mine/Hatch.H:                     768        96
:bitmap/matt/02 - Gold Mine/Hatch.H:                    1088        96

:bitmap/matt/02 - Gold Mine/Goal.G:                      768       296
:bitmap/matt/02 - Gold Mine/Goal.G:                     1088       296
:bitmap/matt/02 - Gold Mine/Goal.G:                      128       296
:bitmap/matt/02 - Gold Mine/Goal.G:                      448       296

:bitmap/matt/02 - Gold Mine/07:                          -48       -16
:bitmap/matt/02 - Gold Mine/07:                           48       -32
:bitmap/matt/02 - Gold Mine/07:                          176       -32
:bitmap/matt/02 - Gold Mine/07:                          320       -32
:bitmap/matt/02 - Gold Mine/07:                          480       -48
:bitmap/matt/02 - Gold Mine/07:                          528        32
:bitmap/matt/02 - Gold Mine/07:                          416        16
:bitmap/matt/02 - Gold Mine/07:                          -64        80
:bitmap/matt/02 - Gold Mine/07:                          304        16
:bitmap/matt/02 - Gold Mine/07:                           32        48
:bitmap/matt/02 - Gold Mine/07:                          144        32
:bitmap/matt/02 - Gold Mine/07:                          -48       144
:bitmap/matt/02 - Gold Mine/07:                          480        96
:bitmap/matt/02 - Gold Mine/07:                          368        64
:bitmap/matt/02 - Gold Mine/07:                          352       128
:bitmap/matt/02 - Gold Mine/07:                          272        80
:bitmap/matt/02 - Gold Mine/07:                          144        96
:bitmap/matt/02 - Gold Mine/07:                           64       144
:bitmap/matt/02 - Gold Mine/07:                          208       144
:bitmap/matt/02 - Gold Mine/07:                          -32       176
