$BUILT                                             2011-09-11 08:18:11
$AUTHOR                                                          Rubix
$GERMAN                                                               
$ENGLISH                                    Combat Platforms (2p race)

#SIZE_X                                                           2080
#SIZE_Y                                                           1280
#TORUS_X                                                             1
#TORUS_Y                                                             0
#START_X                                                             0
#START_Y                                                           860
#BACKGROUND_RED                                                      0
#BACKGROUND_GREEN                                                    0
#BACKGROUND_BLUE                                                     0

#SECONDS                                                            30
#INITIAL                                                             1
#REQUIRED                                                            1
#RATE                                                               99

#CLIMBER                                                             1
#FLOATER                                                             1
#JUMPER                                                             -1
#WALKER                                                             -1
#BLOCKER                                                            -1
#BATTER                                                             -1
#RUNNER                                                              1
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0

:bitmap/matt/08 - Bricks/Hatch.H:                        528      1200     r
:bitmap/matt/08 - Bricks/Hatch.H:                       1632      1200

:bitmap/matt/08 - Bricks/Goal.G:                          32       160

:bitmap/geoo/construction/sawblade.F:                   1952       128
:bitmap/geoo/construction/sawblade.F:                    216       128
:bitmap/geoo/construction/sawblade.F:                    190       168
:bitmap/geoo/construction/sawblade.F:                   1976       168
:bitmap/geoo/construction/sawblade.F:                   1998       188
:bitmap/geoo/construction/sawblade.F:                    170       188

:bitmap/matt/08 - Bricks/02b:                           2048      1248
:bitmap/matt/08 - Bricks/03:                               0      1216
:bitmap/matt/08 - Bricks/03:                              64      1216
:bitmap/matt/08 - Bricks/02a:                            224      1168
:bitmap/matt/08 - Bricks/02a:                            288      1168
:bitmap/matt/08 - Bricks/02:                             512      1152
:bitmap/matt/08 - Bricks/02:                             576      1152
:bitmap/matt/08 - Bricks/02:                             640      1152
:bitmap/matt/08 - Bricks/02:                             448      1152
:bitmap/matt/08 - Bricks/02a:                           1024      1088
:bitmap/matt/08 - Bricks/02a:                           1120      1088
:bitmap/matt/08 - Bricks/02b:                            768      1120
:bitmap/matt/08 - Bricks/02b:                            832      1120
:bitmap/matt/08 - Bricks/02b:                            896      1120
:bitmap/matt/08 - Bricks/02b:                            960      1120
:bitmap/matt/08 - Bricks/02a:                           1872      1168
:bitmap/matt/08 - Bricks/02a:                           1936      1168
:bitmap/matt/08 - Bricks/02:                            1568      1152
:bitmap/matt/08 - Bricks/02:                            1632      1152
:bitmap/matt/08 - Bricks/02:                            1696      1152
:bitmap/matt/08 - Bricks/02:                            1504      1152
:bitmap/matt/08 - Bricks/02b:                           1184      1120
:bitmap/matt/08 - Bricks/02b:                           1248      1120
:bitmap/matt/08 - Bricks/02b:                           1312      1120
:bitmap/matt/08 - Bricks/02b:                           1376      1120
